Question_id,question_text,question_zone,ground_truth_answer,chatbot,,,,,,,,,,,,,,,,,
Q035,Thang điểm 4 của trường Đại học Vinh được cấu trúc như thế nào?,Noise Area,"Thang điểm 10          Thang điểm chữ

8,5 - 10,0                              A

7,0 - 8,4                                B

5,5 - 6,9                                C

4,0 -  5,4                               D

Dưới 4,0                               F","Theo tài liệu cung cấp (Document 3 và Document 4), thang điểm 4 tại Trường Đại học Vinh được quy định như sau để xếp loại tốt nghiệp: - Xuất sắc: Điểm tích lũy trung bình từ 3.6 đến 4.0 - Giỏi: Điểm tích lũy trung bình từ 3.2 đến dưới 3.6 - Khá: Điểm tích lũy trung bình từ 2.5 đến dưới 3.2 - Trung bình: Điểm tích lũy trung bình từ 2.0 đến dưới 2.5 Lưu ý: Hạng tốt nghiệp có thể bị giảm một mức nếu sinh viên thuộc các trường hợp vi phạm quy định về học lại hoặc kỷ luật.",,,,,,,,,,,,,,,,,
Q036, có thể đăng ký học cải thiện điểm không?,Noise Area,Bạn nên liên hệ trực tiếp với Phòng Đào tạo của trường hoặc kiểm tra quy chế đào tạo để biết thủ tục cụ thể.,thông thường sinh viên có thể đăng ký học cải thiện điểm cho các học phần đã học nhưng chưa đạt điểm mong muốn. Bạn nên liên hệ trực tiếp với Phòng Đào tạo của trường hoặc kiểm tra quy chế đào tạo để biết thủ tục cụ thể.,,,,,,,,,,,,,,,,,
Q037,đã học xong nhưng còn nợ môn thì có được xét tốt nghiệp không?,Noise Area,"sinh viên đã hết thời gian học tập tối đa nhưng chưa đủ điều kiện tốt nghiệp do còn nợ môn (chưa hoàn thành các học phần GDQP-AN, GDTC hoặc chưa đạt chuẩn đầu ra về ngoại ngữ, công nghệ thông tin, kỹ năng mềm) có thể được hoàn thiện các điều kiện còn thiếu trong thời hạn 3 năm kể từ khi hết thời gian học tập để được xét tốt nghiệp. Nếu không hoàn thành, sinh viên sẽ được cấp chứng nhận các học phần đã tích lũy (tài liệu 2, mục 6).","Theo quy định của Trường Đại học Vinh (tài liệu 2, mục 5), sinh viên đã hết thời gian học tập tối đa nhưng chưa đủ điều kiện tốt nghiệp do còn nợ môn (chưa hoàn thành các học phần GDQP-AN, GDTC hoặc chưa đạt chuẩn đầu ra về ngoại ngữ, công nghệ thông tin, kỹ năng mềm) có thể được hoàn thiện các điều kiện còn thiếu trong thời hạn 3 năm kể từ khi hết thời gian học tập để được xét tốt nghiệp. Nếu không hoàn thành, sinh viên sẽ được cấp chứng nhận các học phần đã tích lũy (tài liệu 2, mục 6).",,,,,,,,,,,,,,,,,
Q038,có cho sinh viên thi lại nếu điểm thấp không?,Noise Area,"sinh viên thường được phép thi lại nếu điểm thi không đạt yêu cầu hoặc muốn cải thiện điểm số. Tuy nhiên, số lần thi lại và điều kiện cụ thể sẽ tùy thuộc vào quy chế đào tạo của từng trường. Đối với Trường Đại học Vinh, bạn nên tham khảo Quy chế đào tạo hiện hành của trường hoặc liên hệ trực tiếp với Phòng Đào tạo để biết thông tin chính xác về quy định thi lại. (Đây là câu trả lời chung vì tài liệu được cung cấp không đề cập cụ thể đến quy định thi lại).","Theo quy định chung của các trường đại học tại Việt Nam, sinh viên thường được phép thi lại nếu điểm thi không đạt yêu cầu hoặc muốn cải thiện điểm số. Tuy nhiên, số lần thi lại và điều kiện cụ thể sẽ tùy thuộc vào quy chế đào tạo của từng trường. Đối với Trường Đại học Vinh, bạn nên tham khảo Quy chế đào tạo hiện hành của trường hoặc liên hệ trực tiếp với Phòng Đào tạo để biết thông tin chính xác về quy định thi lại. (Đây là câu trả lời chung vì tài liệu được cung cấp không đề cập cụ thể đến quy định thi lại).",,,,,,,,,,,,,,,,,
Q039,có thể học 2 ngành cùng lúc tại trường không?,Noise Area,"Có thể, nhưng cần đáp ứng điều kiện về điểm số và thời gian học.","Có thể, nhưng cần đáp ứng điều kiện về điểm số và thời gian học.",,,,,,,,,,,,,,,,,
Q040,Nếu bị đình chỉ học thì có thể quay lại học không?,Noise Area,Cần làm đơn xin học lại và được trường xét duyệt.,Cần làm đơn xin học lại và được trường xét duyệt.,,,,,,,,,,,,,,,,,
Q041,Bao nhiêu tín chỉ thì được coi là học vượt?,Noise Area,"Thường trên 20 tín chỉ/kỳ, tùy vào chương trình đào tạo.","Theo quy định của Trường Đại học Vinh (tài liệu 9), để được xét học bổng KKHT mỗi học kỳ, sinh viên phải đăng ký và hoàn thành tối thiểu 14 tín chỉ. Tuy nhiên, tài liệu không đề cập cụ thể về số tín chỉ để được coi là học vượt. Thông thường ở các trường đại học, học vượt thường áp dụng khi sinh viên đăng ký vượt quá số tín chỉ tối đa quy định cho mỗi học kỳ (thường khoảng 18-22 tín chỉ/học kỳ). Để biết chính xác quy định về học vượt tại Trường Đại học Vinh, bạn nên tham khảo quy chế đào tạo hiện hành của trường.",,,,,,,,,,,,,,,,,
Q042,Nếu học hệ chất lượng cao thì có thể chuyển sang hệ đại trà không?,Noise Area,"Theo quy định chung của các trường đại học, việc chuyển đổi giữa các hệ đào tạo thường phụ thuộc vào điều kiện cụ thể của từng trường và phải được sự chấp thuận của nhà trường. Sinh viên cần liên hệ trực tiếp với Phòng Đào tạo của Trường Đại học Vinh để được hướng dẫn cụ thể về thủ tục và điều kiện chuyển đổi.","Hiện tại trong các tài liệu được cung cấp không có thông tin cụ thể về việc chuyển đổi giữa hệ chất lượng cao và hệ đại trà tại Trường Đại học Vinh. Theo quy định chung của các trường đại học, việc chuyển đổi giữa các hệ đào tạo thường phụ thuộc vào điều kiện cụ thể của từng trường và phải được sự chấp thuận của nhà trường. Sinh viên cần liên hệ trực tiếp với Phòng Đào tạo của Trường Đại học Vinh để được hướng dẫn cụ thể về thủ tục và điều kiện chuyển đổi.",,,,,,,,,,,,,,,,,
Q043,Nếu bị mất hồ sơ nhập học thì có thể xin cấp lại không?,Noise Area,"Phải liên hệ phòng đào tạo để được hướng dẫn cụ thể.
","Phải liên hệ phòng đào tạo để được hướng dẫn cụ thể.
",,,,,,,,,,,,,,,,,
Q044,Trường có chính sách hỗ trợ sinh viên có hoàn cảnh khó khăn không?,Noise Area,"Có, em liên hệ phòng công tác sinh viên để biết thêm chi tiết.
","Theo tài liệu cung cấp (Document 10), Trường Đại học Vinh có các chính sách hỗ trợ sinh viên như Học bổng chính sách (HBCS), Học bổng khuyến khích học tập (HBKKHT), Học bổng tài trợ (HBTT), Trợ cấp ưu đãi (TCƯĐ) và Trợ cấp xã hội (TCXH). Điều này cho thấy nhà trường có các chính sách hỗ trợ sinh viên có hoàn cảnh khó khăn. Để biết chi tiết cụ thể, sinh viên có thể tham khảo thêm trên trang web chính thức của trường.",,,,,,,,,,,,,,,,,
Q045,Nếu có chứng chỉ tiếng Anh quốc tế thì có thể miễn học ngoại ngữ không?,Noise Area,"Hiện tại trong các tài liệu được cung cấp không có thông tin cụ thể về việc miễn học ngoại ngữ khi có chứng chỉ tiếng Anh quốc tế tại Trường Đại học Vinh. Tuy nhiên, có chứng chỉ quốc tế đạt yêu cầu (như IELTS, TOEFL...) theo quy định cụ thể của từng trường. Bạn nên liên hệ trực tiếp với Phòng Đào tạo hoặc Khoa Ngoại ngữ của Trường Đại học Vinh để biết chính xác điều kiện và thủ tục miễn học phần.","Hiện tại trong các tài liệu được cung cấp không có thông tin cụ thể về việc miễn học ngoại ngữ khi có chứng chỉ tiếng Anh quốc tế tại Trường Đại học Vinh. Tuy nhiên, theo thông lệ chung ở các trường đại học tại Việt Nam, sinh viên có thể được miễn học phần ngoại ngữ nếu có chứng chỉ quốc tế đạt yêu cầu (như IELTS, TOEFL...) theo quy định cụ thể của từng trường. Bạn nên liên hệ trực tiếp với Phòng Đào tạo hoặc Khoa Ngoại ngữ của Trường Đại học Vinh để biết chính xác điều kiện và thủ tục miễn học phần.",,,,,,,,,,,,,,,,,
Q046,Học phí các ngành có chênh lệch nhiều không?,Noise Area,"Theo tài liệu từ Trường Đại học Vinh (năm học 2021-2022), học phí các ngành có sự chênh lệch như sau: 1. Các ngành sư phạm (như Sư phạm Toán, Ngữ văn, Lịch sử...): 290.000 đồng/tín chỉ 2. Ngành Quản lý giáo dục: 300.000 đồng/tín chỉ 3. Hệ Chất lượng cao: 3.000.000 đồng/tháng (không tính theo tín chỉ) Như vậy, sự chênh lệch học phí giữa các ngành thông thường không quá lớn (chỉ khoảng 10.000-50.000 đồng/tín chỉ), nhưng chênh lệch đáng kể giữa hệ đào tạo thông thường và hệ Chất lượng cao.","Theo tài liệu từ Trường Đại học Vinh (năm học 2021-2022), học phí các ngành có sự chênh lệch như sau: 1. Các ngành sư phạm (như Sư phạm Toán, Ngữ văn, Lịch sử...): 290.000 đồng/tín chỉ 2. Ngành Quản lý giáo dục: 300.000 đồng/tín chỉ 3. Hệ Chất lượng cao: 3.000.000 đồng/tháng (không tính theo tín chỉ) Như vậy, sự chênh lệch học phí giữa các ngành thông thường không quá lớn (chỉ khoảng 10.000-50.000 đồng/tín chỉ), nhưng chênh lệch đáng kể giữa hệ đào tạo thông thường và hệ Chất lượng cao.",,,,,,,,,,,,,,,,,
Q047,Khi nào trường tổ chức hội trại sinh viên?,Noise Area,Hiện tại trong các tài liệu được cung cấp không có thông tin cụ thể về thời gian tổ chức hội trại sinh viên tại Trường Đại học Vinh. vinhuni.edu.vn.,"Hiện tại trong các tài liệu được cung cấp không có thông tin cụ thể về thời gian tổ chức hội trại sinh viên tại Trường Đại học Vinh. Để biết lịch trình chính xác, bạn nên liên hệ trực tiếp với Phòng Công tác sinh viên của trường hoặc theo dõi thông báo chính thức trên website vinhuni.edu.vn.",,,,,,,,,,,,,,,,,
Q048,Nếu không đóng học phí đúng hạn thì có bị hủy môn đã đăng ký không?,Noise Area,Có thể bị hủy nếu quá thời hạn đóng học phí.,"Câu hỏi này không được đề cập cụ thể trong các tài liệu được cung cấp. Tuy nhiên, theo quy định chung của các trường đại học, nếu sinh viên không đóng học phí đúng hạn có thể bị xử lý theo quy định, bao gồm cả việc hủy môn đã đăng ký. Để biết chính xác quy định của Trường Đại học Vinh, bạn nên liên hệ trực tiếp với Phòng Đào tạo hoặc Phòng Kế toán của trường.",,,,,,,,,,,,,,,,,
Q049,Nếu muốn học thêm kỹ năng mềm thì trường có hỗ trợ không?,Noise Area,"Có các khóa học kỹ năng do nhà trường tổ chức.
","Có các khóa học kỹ năng do nhà trường tổ chức.
",,,,,,,,,,,,,,,,,
Q050,"Nếu bị điểm kém, có chính sách cảnh báo học tập không?",Noise Area,"Có, nếu GPA thấp dưới mức quy định sẽ bị cảnh báo.
","Theo quy định chung của các trường đại học (bao gồm cả Trường Đại học Vinh), khi sinh viên có kết quả học tập yếu kém thường sẽ nhận được cảnh báo học tập. Cụ thể: 1. Nếu điểm trung bình học kỳ dưới 2.0, sinh viên thường bị xếp vào diện cảnh báo học tập 2. Sau 2 học kỳ liên tiếp bị cảnh báo, sinh viên có thể bị buộc thôi học hoặc chuyển sang ngành học khác phù hợp hơn Tuy nhiên, trong các tài liệu được cung cấp không có thông tin chi tiết về chính sách cảnh báo học tập cụ thể của Trường Đại học Vinh. Bạn có thể liên hệ trực tiếp Phòng Đào tạo của trường để biết thêm chi tiết.",,,,,,,,,,,,,,,,,
Q051,Trường có chính sách hỗ trợ sinh viên khuyết tật không?,Noise Area,"dựa trên thông lệ chung của các trường đại học tại Việt Nam, Trường Đại học Vinh có thể có các chính sách hỗ trợ như: tạo điều kiện về cơ sở vật chất, miễn giảm học phí, hỗ trợ học tập... Để biết chi tiết, bạn nên liên hệ trực tiếp với Phòng Công tác sinh viên của trường.","Theo tài liệu cung cấp, không có thông tin cụ thể về chính sách hỗ trợ sinh viên khuyết tật tại Trường Đại học Vinh. Tuy nhiên, dựa trên thông lệ chung của các trường đại học tại Việt Nam, Trường Đại học Vinh có thể có các chính sách hỗ trợ như: tạo điều kiện về cơ sở vật chất, miễn giảm học phí, hỗ trợ học tập... Để biết chi tiết, bạn nên liên hệ trực tiếp với Phòng Công tác sinh viên của trường.",,,,,,,,,,,,,,,,,
Q052,Có giới hạn số lần học lại một môn không?,Noise Area,"Thông thường sinh viên được học lại một môn tối đa 2-3 lần tùy theo quy định cụ thể của từng trường. Để biết chính xác quy định của Trường Đại học Vinh, bạn nên tham khảo Quy chế đào tạo hiện hành của trường hoặc liên hệ trực tiếp với Phòng Đào tạo.","Thông tin về giới hạn số lần học lại một môn không được đề cập trong các tài liệu được cung cấp. Theo quy định chung của các trường đại học tại Việt Nam, thông thường sinh viên được học lại một môn tối đa 2-3 lần tùy theo quy định cụ thể của từng trường. Để biết chính xác quy định của Trường Đại học Vinh, bạn nên tham khảo Quy chế đào tạo hiện hành của trường hoặc liên hệ trực tiếp với Phòng Đào tạo.",,,,,,,,,,,,,,,,,
Q053,Nếu vi phạm quy chế thi lần đầu thì bị xử lý thế nào?,Noise Area,"nếu vi phạm quy chế thi lần đầu, sinh viên sẽ bị xử lý như sau: - Không vi phạm quy chế thi: được 2 điểm trong đánh giá ý thức. - Có biên bản xử lý kỷ luật từ mức khiển trách trở lên: không được tính điểm phần này. - Vi phạm các hình thức khác: mỗi lần vi phạm trừ 1 điểm. Mức kỷ luật cụ thể (khiển trách, cảnh cáo...) tùy thuộc vào tính chất vi phạm và sẽ do Hội đồng kỷ luật xem xét theo quy trình tại Document 2 & 3.","Theo tài liệu từ Cẩm nang HSSV năm 2021 của Trường Đại học Vinh (Document 10), nếu vi phạm quy chế thi lần đầu, sinh viên sẽ bị xử lý như sau: - Không vi phạm quy chế thi: được 2 điểm trong đánh giá ý thức. - Có biên bản xử lý kỷ luật từ mức khiển trách trở lên: không được tính điểm phần này. - Vi phạm các hình thức khác: mỗi lần vi phạm trừ 1 điểm. Mức kỷ luật cụ thể (khiển trách, cảnh cáo...) tùy thuộc vào tính chất vi phạm và sẽ do Hội đồng kỷ luật xem xét theo quy trình tại Document 2 & 3.",,,,,,,,,,,,,,,,,
Q054,"	Trường có hợp tác với doanh nghiệp để giới thiệu việc làm không?",Noise Area,"Có, em theo dõi thông báo từ trung tâm hỗ trợ sinh viên.
","Có, em theo dõi thông báo từ trung tâm hỗ trợ sinh viên.
",,,,,,,,,,,,,,,,,
Q055,Nếu muốn học liên thông lên thạc sĩ thì có điều kiện gì?,Noise Area,"Tại Trường Đại học Vinh, sinh viên có thể đổi lớp nếu bị trùng lịch học, nhưng cần tuân theo quy định của nhà trường. Thông thường, sinh viên cần liên hệ với Phòng Đào tạo hoặc giáo vụ khoa để được hướng dẫn thủ tục đổi lớp, đảm bảo lớp mới vẫn còn chỉ tiêu và phù hợp với chương trình học. Lưu ý: việc đổi lớp phải được thực hiện trong thời gian quy định của mỗi học kỳ.","Hiện tại trong các tài liệu được cung cấp không có thông tin cụ thể về điều kiện học liên thông lên thạc sĩ tại Trường Đại học Vinh. Theo quy định chung của các trường đại học tại Việt Nam, điều kiện thường bao gồm: tốt nghiệp đại học cùng ngành hoặc ngành gần, có bằng tốt nghiệp loại khá trở lên, và đáp ứng các yêu cầu tuyển sinh riêng của chương trình thạc sĩ. Để biết thông tin chính xác, bạn nên liên hệ trực tiếp với Phòng Đào tạo Sau đại học của Trường Đại học Vinh.",,,,,,,,,,,,,,,,,
Q056,Nếu bị trùng lịch học thì có thể đổi lớp không?,Noise Area,"Theo tài liệu từ Cẩm nang HSSV năm 2021 của Trường Đại học Vinh (Document 3), thẻ thư viện là một phần của thẻ tích hợp (bao gồm thẻ ngân hàng, thẻ thư viện và thẻ HSSV). Quy trình làm lại thẻ được đề cập tại Mục 11, Phần X của Cẩm nang. Để được cấp lại thẻ thư viện, sinh viên cần: 1. Liên hệ với Bộ phận một cửa hoặc Trợ lý QLSV của Khoa/Viện 2. Làm đơn xin cấp lại thẻ 3. Nộp lệ phí theo quy định (nếu có) Thời gian giải quyết thường là 10 ngày làm việc kể từ khi nhận đủ hồ sơ hợp lệ.","Tại Trường Đại học Vinh, sinh viên có thể đổi lớp nếu bị trùng lịch học, nhưng cần tuân theo quy định của nhà trường. Thông thường, sinh viên cần liên hệ với Phòng Đào tạo hoặc giáo vụ khoa để được hướng dẫn thủ tục đổi lớp, đảm bảo lớp mới vẫn còn chỉ tiêu và phù hợp với chương trình học. Lưu ý: việc đổi lớp phải được thực hiện trong thời gian quy định của mỗi học kỳ.",,,,,,,,,,,,,,,,,
Q057,Nếu bị mất thẻ thư viện thì làm sao để cấp lại?,Noise Area,"Theo tài liệu từ Cẩm nang HSSV năm 2021 của Trường Đại học Vinh (Document 3), thẻ thư viện là một phần của thẻ tích hợp (bao gồm thẻ ngân hàng, thẻ thư viện và thẻ HSSV). Quy trình làm lại thẻ được đề cập tại Mục 11, Phần X của Cẩm nang. Để cấp lại thẻ thư viện khi bị mất, sinh viên cần: 1. Liên hệ với Bộ phận một cửa hoặc Trợ lý QLSV của Khoa/Viện 2. Làm đơn xin cấp lại thẻ 3. Nộp lệ phí theo quy định (nếu có) Thời gian giải quyết thường là 10 ngày làm việc kể từ khi nộp đủ hồ sơ hợp lệ. Chi tiết cụ thể về hồ sơ và thủ tục có thể tham khảo thêm tại Mục 11, Phần X trong Cẩm nang HSSV.","Theo tài liệu từ Cẩm nang HSSV năm 2021 của Trường Đại học Vinh (Document 3), thẻ thư viện là một phần của thẻ tích hợp (bao gồm thẻ ngân hàng, thẻ thư viện và thẻ HSSV). Quy trình làm lại thẻ được đề cập tại Mục 11, Phần X của Cẩm nang. Để được cấp lại thẻ thư viện, sinh viên cần: 1. Liên hệ với Bộ phận một cửa hoặc Trợ lý QLSV của Khoa/Viện 2. Làm đơn xin cấp lại thẻ 3. Nộp lệ phí theo quy định (nếu có) Thời gian giải quyết thường là 10 ngày làm việc kể từ khi nhận đủ hồ sơ hợp lệ.",,,,,,,,,,,,,,,,,
Q058,Có thể chuyển ngành học sau năm nhất không?,Noise Area,"Thẻ thư viện là một phần của thẻ tích hợp (bao gồm thẻ ngân hàng, thẻ thư viện và thẻ HSSV). Quy trình làm lại thẻ được đề cập tại Mục 11, Phần X của Cẩm nang. Để cấp lại thẻ thư viện khi bị mất, sinh viên cần: 1. Liên hệ với Bộ phận một cửa hoặc Trợ lý QLSV của Khoa/Viện 2. Làm đơn xin cấp lại thẻ 3. Nộp lệ phí theo quy định (nếu có) Thời gian giải quyết thường là 10 ngày làm việc kể từ khi nộp đủ hồ sơ hợp lệ. Chi tiết cụ thể về hồ sơ và thủ tục có thể tham khảo thêm tại Mục 11, Phần X trong Cẩm nang HSSV.","Theo tài liệu từ Cẩm nang HSSV năm 2021 của Trường Đại học Vinh (Document 3), thẻ thư viện là một phần của thẻ tích hợp (bao gồm thẻ ngân hàng, thẻ thư viện và thẻ HSSV). Quy trình làm lại thẻ được đề cập tại Mục 11, Phần X của Cẩm nang. Để cấp lại thẻ thư viện khi bị mất, sinh viên cần: 1. Liên hệ với Bộ phận một cửa hoặc Trợ lý QLSV của Khoa/Viện 2. Làm đơn xin cấp lại thẻ 3. Nộp lệ phí theo quy định (nếu có) Thời gian giải quyết thường là 10 ngày làm việc kể từ khi nộp đủ hồ sơ hợp lệ. Chi tiết cụ thể về hồ sơ và thủ tục có thể tham khảo thêm tại Mục 11, Phần X trong Cẩm nang HSSV.",,,,,,,,,,,,,,,,,
Q059,Nếu vi phạm nội quy ký túc xá thì bị xử lý thế nào?,Noise Area," việc vi phạm nội quy ký túc xá (phòng ở) như làm hư hỏng tài sản, viết vẽ bậy lên tường/bàn ghế, xê dịch trang thiết bị không đúng quy định... sẽ bị xử lý theo quy định tại điểm 4d: ""Nghiêm cấm các hành vi phá hoại, trộm cắp tài sản công và tài sản của cá nhân khác"". Mức xử lý cụ thể tùy theo tính chất vi phạm, có thể bị trừ điểm rèn luyện (Document 8), khiển trách hoặc kỷ luật từ cảnh cáo trở lên (Document 10).","Theo tài liệu của Trường Đại học Vinh (Document 1), việc vi phạm nội quy ký túc xá (phòng ở) như làm hư hỏng tài sản, viết vẽ bậy lên tường/bàn ghế, xê dịch trang thiết bị không đúng quy định... sẽ bị xử lý theo quy định tại điểm 4d: ""Nghiêm cấm các hành vi phá hoại, trộm cắp tài sản công và tài sản của cá nhân khác"". Mức xử lý cụ thể tùy theo tính chất vi phạm, có thể bị trừ điểm rèn luyện (Document 8), khiển trách hoặc kỷ luật từ cảnh cáo trở lên (Document 10).",,,,,,,,,,,,,,,,,
Q060,Nếu làm khóa luận tốt nghiệp thì có được miễn thi tốt nghiệp không?,Noise Area,Không có quy định nào về việc miễn thi tốt nghiệp khi làm khóa luận tốt nghiệp. Khóa luận tốt nghiệp và thi tốt nghiệp là hai yêu cầu độc lập trong quá trình hoàn thành chương trình học. Sinh viên vẫn phải tham dự kỳ thi tốt nghiệp theo quy định của nhà trường ngay cả khi đã hoàn thành khóa luận.,"Theo thông tin từ Cẩm nang HSSV năm 2021 của Trường Đại học Vinh, không có quy định nào về việc miễn thi tốt nghiệp khi làm khóa luận tốt nghiệp. Khóa luận tốt nghiệp và thi tốt nghiệp là hai yêu cầu độc lập trong quá trình hoàn thành chương trình học. Sinh viên vẫn phải tham dự kỳ thi tốt nghiệp theo quy định của nhà trường ngay cả khi đã hoàn thành khóa luận.",,,,,,,,,,,,,,,,,
Q061,Trường Đại học Vinh thực hiện chương trình đào tạo theo hệ thống nào?,Gray Area,Trường Đại học Vinh thực hiện chương trình đào tạo (CTĐT) theo hệ thống tín chỉ cho tất cả các hình thức đào tạo.,"Trường Đại học Vinh thực hiện chương trình đào tạo theo hệ thống tín chỉ. Điều này được thể hiện qua các thông tin về số tín chỉ (Số TC) trong các học phần được liệt kê trong tài liệu, ví dụ như các học phần có số tín chỉ cụ thể (3 hoặc 4 tín chỉ).",,,,,,,,,,,,,,,,,
Q062,Chương trình đào tạo chính quy được thiết kế theo định hướng nào?,Gray Area,"Đối với hình thức đào tạo chính quy, CTĐT theo hệ thống tín chỉ được thiết kế theo định hướng tiếp cận CDIO.","Chương trình đào tạo chính quy tại Trường Đại học Vinh được thiết kế thành 02 nhóm bài học dựa trên chuẩn đầu ra của học phần: 1. **Nhóm bài học lý thuyết** (mức độ thấp: nhớ, hiểu, vận dụng theo thang Bloom) được giảng dạy trực tuyến trên hệ thống LMS. 2. **Nhóm bài học mức cao** (vận dụng, phân tích, đánh giá, sáng tạo) được tổ chức trải nghiệm thực tế tại lớp học, phòng thí nghiệm, cơ sở sản xuất hoặc trường phổ thông (đối với ngành sư phạm). Ngoài ra, chương trình sử dụng tín chỉ để tính khối lượng học tập, với 1 tín chỉ tương đương 15 giờ chuẩn giảng dạy lý thuyết. (Nguồn: Document 1 - Cam nang HSSV 2021)",,,,,,,,,,,,,,,,,
Q063,CTĐT được cấu trúc từ các khối học phần nào?,Gray Area,"CTĐT được cấu trúc từ các học phần tạo thành các khối: giáo dục đại cương, giáo dục chuyên nghiệp, khoa học cơ bản, cơ sở và cốt lõi ngành, thực tập và trải nghiệm.","CTĐT tại Trường Đại học Vinh được cấu trúc từ các khối học phần sau: giáo dục đại cương, giáo dục chuyên nghiệp, khoa học cơ bản, cơ sở và cốt lõi ngành, thực tập và trải nghiệm. (Theo tài liệu Cẩm nang HSSV năm 2021 của Trường Đại học Vinh).",,,,,,,,,,,,,,,,,
Q064,Thời gian thiết kế chuẩn cho CTĐT trình độ đại học hệ chính quy là bao lâu đối với ngành đào tạo cử nhân?,Gray Area,"Đối với hệ chính quy, thời gian thiết kế chuẩn cho CTĐT trình độ đại học là 4 năm đối với các ngành đào tạo cấp bằng cử nhân.","Theo quy định chung về đào tạo đại học hệ chính quy tại Việt Nam, thời gian thiết kế chuẩn cho chương trình đào tạo (CTĐT) trình độ đại học ngành cử nhân thường là 4 năm (8 học kỳ). Tuy nhiên, một số ngành đặc thù có thể có thời gian đào tạo dài hơn (5-6 năm). Đây là thông tin chung vì trong tài liệu cung cấp không đề cập cụ thể thời gian thiết kế CTĐT tại Trường Đại học Vinh.",,,,,,,,,,,,,,,,,
Q065,Thời gian thiết kế chuẩn cho CTĐT trình độ đại học hệ chính quy là bao lâu đối với ngành đào tạo kỹ sư?,Gray Area,"Đối với hệ chính quy, thời gian thiết kế chuẩn cho CTĐT trình độ đại học là 4,5 – 5 năm đối với các ngành đào tạo cấp bằng kỹ sư.","Đối với hệ chính quy, thời gian thiết kế chuẩn cho CTĐT trình độ đại học là 4,5 – 5 năm đối với các ngành đào tạo cấp bằng kỹ sư.",,,,,,,,,,,,,,,,,
Q066,Thời gian tối đa để sinh viên hoàn thành CTĐT không được vượt quá bao nhiêu lần thời gian theo kế hoạch học tập chuẩn toàn khóa?,Gray Area,"Thời gian tối đa để sinh viên hoàn thành CTĐT không được vượt quá 02 lần thời gian theo kế hoạch học tập chuẩn toàn khóa đối với mỗi hình thức đào tạo, được thiết kế cho CTĐT ngành/chuyên ngành đó.","Thời gian tối đa để sinh viên hoàn thành CTĐT không được vượt quá 02 lần thời gian theo kế hoạch học tập chuẩn toàn khóa đối với mỗi hình thức đào tạo, được thiết kế cho CTĐT ngành/chuyên ngành đó.",,,,,,,,,,,,,,,,,
Q067,Thời gian sinh viên nghỉ học tạm thời có được tính vào thời gian tối đa của khóa đào tạo không?,Gray Area,Thời gian sinh viên nghỉ học tạm thời và thời gian học ở trường khác khi chuyển về Trường Đại học Vinh (nếu có) đều được tính vào thời gian tối đa của khóa đào tạo.,Thời gian sinh viên nghỉ học tạm thời và thời gian học ở trường khác khi chuyển về Trường Đại học Vinh (nếu có) đều được tính vào thời gian tối đa của khóa đào tạo.,,,,,,,,,,,,,,,,,
Q068,Kế hoạch dạy - học trong từng năm học và từng học kỳ được thể hiện ở đâu?,Gray Area,"Kế hoạch dạy - học trong từng năm học và từng học kỳ được thể hiện ở ""Kế hoạch thời gian đào tạo năm học"" và ""Thời khóa biểu từng học kỳ"".","Kế hoạch dạy - học trong từng năm học và từng học kỳ được thể hiện ở ""Kế hoạch thời gian đào tạo năm học"" và ""Thời khóa biểu từng học kỳ"".",,,,,,,,,,,,,,,,,
Q069,Một năm học gồm mấy học kỳ chính?,Gray Area,Năm học gồm hai học kỳ chính (gọi là học kỳ I và học kỳ II).,Một năm học tại Trường Đại học Vinh thường gồm 2 học kỳ chính: học kỳ 1 và học kỳ 2. Đây là cấu trúc phổ biến ở hầu hết các trường đại học tại Việt Nam.,,,,,,,,,,,,,,,,,
Q070,Mỗi học kỳ chính có từ bao nhiêu tuần thực học và tuần thi?,Gray Area,Mỗi học kỳ chính có từ 12 – 15 tuần thực học và 3 tuần thi.,"Theo thông tin từ các tài liệu được cung cấp (cụ thể là các Document 1-10), mỗi học kỳ chính tại Trường Đại học Vinh có thời gian thực học từ tuần 23 đến tuần 29 và từ tuần 31 đến tuần 38 (tổng cộng 15 tuần thực học). Các tuần thi thường diễn ra sau tuần 38, nhưng tài liệu không đề cập cụ thể số tuần thi. Thông tin này dựa trên dữ liệu về ""Tuần học"" trong các lớp học phần được liệt kê, với định dạng chung: ""Tuần học: 23 -> 29, 31 -> 38"".",,,,,,,,,,,,,,,,,
Q071,Học kỳ phụ có ít nhất bao nhiêu tuần thực học và tuần thi?,Gray Area,Học kỳ phụ có ít nhất 5 tuần thực học và 1 tuần thi.,"Theo thông tin từ tài liệu 3 (cam_nang_hssv_nam_2021), học kỳ phụ tại Trường Đại học Vinh có ít nhất 5 tuần thực học và 1 tuần thi (trang 87). Tuy nhiên, nếu cần thông tin chi tiết hơn về từng chương trình cụ thể, bạn có thể tham khảo thêm các quy định hiện hành của trường.",,,,,,,,,,,,,,,,,
